bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
1st Advantage Bank,Community Bank,FALSE,NA,"151,388","3,207","3,449","3,981","1,913","2,124","2,526",19,18,20,"1,010","1,055","1,170",0,0,181,0,0,0
1st Bank in Hominy,Community Bank,FALSE,NA,"44,845","1,309","1,230","1,222",705,638,602,14,11,11,466,441,467,0,0,0,0,0,0
1st Bank of Sea Isle City,Community Bank,FALSE,NA,"331,161","7,470","7,605","8,408","4,144","4,234","4,459",45,41,43,"2,719","2,766","3,187",60,105,152,0,0,0
1st Bank Yuma,Community Bank,FALSE,NA,"555,631","12,488","12,473","13,342","7,120","6,762","7,285",75,71,77,"3,863","4,257","4,587",622,575,492,0,0,0
1st Capital Bank,Community Bank,FALSE,NA,"941,795","17,528","19,989","22,126","10,836","12,288","13,459",95,93,99,"4,542","5,600","6,337",0,0,0,0,0,0
1st Colonial Community Bank,Community Bank,FALSE,NA,"781,503","15,693","19,439","18,684","9,628","12,300","12,172",78,102,97,"5,119","5,893","5,281",0,0,0,458,0,0
1st Community Bank,Community Bank,FALSE,NA,"67,449","1,889","1,840","1,849","1,184","1,168","1,175",17,17,18,444,442,435,0,0,0,0,0,0
1st Equity Bank,Community Bank,FALSE,NA,"134,612","3,121","2,922","3,253","1,611","1,901","2,013",9,10,11,"1,014",659,899,0,0,0,209,0,0
"1st Federal Savings Bank of SC, Inc.",Community Bank,FALSE,NA,"143,309","4,189","4,327","4,386","2,236","2,207","2,346",24,24,24,"1,566","1,682","1,564",160,207,322,0,0,1
1st Financial Bank USA,Community Bank,FALSE,NA,"1,094,534","90,666","100,355","94,983","35,156","36,498","38,338",287,287,291,"43,065","51,860","46,040","4,191","5,482",0,"2,684",0,"3,593"
1st National Bank,Community Bank,FALSE,NA,"277,102","14,166","14,997","12,279","7,651","9,251","7,529",90,104,78,"5,453","4,468","3,380",,,,,,
1st State Bank,Community Bank,FALSE,NA,"479,080","9,600","10,132","11,609","5,819","6,208","6,161",66,69,67,"2,877","3,256","4,417",53,146,"1,026",12,23,134
1st Summit Bank,Community Bank,FALSE,NA,"1,341,085","23,153","25,190","28,000","13,597","14,666","16,524",187,208,212,"6,105","6,701","7,265",0,0,0,0,0,0
"1st Trust Bank, Inc.",Community Bank,FALSE,NA,"247,777","6,325","6,351","6,947","3,110","3,217","3,474",49,52,52,"2,399","2,338","2,666",0,0,0,0,0,0
1st United Bank,Community Bank,FALSE,NA,"193,576","4,157","3,431","3,022","1,911","1,610","1,276",25,22,23,960,"1,410","1,509",0,0,0,1,0,0
21st Century Bank,Community Bank,FALSE,NA,"689,010","11,873","12,398","12,741","7,303","7,552","7,808",63,64,61,"2,910","3,045","3,138",224,277,431,0,0,0
22nd State Bank,Community Bank,FALSE,NA,"225,164","7,029","8,139","9,717","3,873","4,721","5,631",50,68,68,"2,490","2,562","3,172",0,0,0,0,0,0
42 North Private Bank,Community Bank,FALSE,NA,"221,472","15,429","12,765","10,251","7,764","5,935","4,939",44,27,29,"5,858","4,801","4,539",960,817,303,0,0,0
5Star Bank,Community Bank,FALSE,NA,"360,036","8,148","8,748","9,055","5,233","5,427","5,490",50,54,55,"2,102","2,428","2,735",0,0,0,0,0,0
AB&T,Community Bank,FALSE,NA,"256,601","5,496","5,311","5,287","3,292","3,130","3,010",32,31,30,"1,684","1,786","1,902",0,0,0,0,0,0
Abacus Federal Savings Bank,Community Bank,FALSE,NA,"310,557","11,061","11,771","12,019","5,814","5,854","5,603",88,82,86,"3,257","3,570","3,689",217,259,324,0,0,0
"Abbeville Building and Loan, A State Chartered Savings Bank",Community Bank,FALSE,NA,"58,961","2,985","3,084","2,981","1,538","1,653","1,574",20,22,19,"1,234","1,243","1,190",22,22,29,4,6,0
"Abbeville First Bank, SSB",Community Bank,FALSE,NA,"117,074","2,308","2,453","2,636","1,203","1,209","1,323",17,17,19,936,"1,045","1,130",148,157,168,10,1,1
AbbyBank,Community Bank,FALSE,NA,"618,334","13,588","14,322","14,051","8,338","8,587","8,981",112,119,102,"3,928","4,397","3,712",0,0,0,0,0,0
Abington Bank,Community Bank,FALSE,NA,"1,354,850","13,128","13,341","17,489","8,003","8,183","9,549",75,76,104,"3,375","3,388","4,191",0,0,0,0,0,0
ACB Bank,Community Bank,FALSE,NA,"121,579","3,023","3,054","3,205","1,706","1,797","1,836",23,23,22,"1,144",970,"1,102",138,106,107,18,63,5
Access Bank,Community Bank,FALSE,NA,"945,731","21,370","23,239","23,437","14,206","15,899","15,179",120,123,127,"5,058","5,655","5,922",217,344,601,71,5,99
Adams Bank & Trust,Community Bank,FALSE,NA,"1,285,979","30,143","34,148","37,824","18,510","21,199","22,588",208,220,226,"8,755","9,900","10,949",6,32,121,12,8,5
Adams Community Bank,Community Bank,FALSE,NA,"932,074","16,588","18,176","19,500","9,685","10,597","11,235",104,113,119,"5,214","5,758","6,244",116,91,0,0,128,0
Adams County Bank,Community Bank,FALSE,NA,"226,220","2,568","2,839","2,841","1,710","1,783","1,826",13,13,13,714,907,830,0,0,0,0,0,0
